gene,function,category,functional_group
SAOUHSC_00001,chromosomal replication initiation protein,DNA metabolism,DNA metabolism
SAOUHSC_00002,DNA polymerase III subunit beta,DNA metabolism,DNA metabolism
SAOUHSC_00003,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_00004,recombination protein F,DNA metabolism,DNA metabolism
SAOUHSC_00005,DNA gyrase subunit B,DNA metabolism,DNA metabolism
SAOUHSC_00006,DNA gyrase subunit A,DNA metabolism,DNA metabolism
SAOUHSC_00007,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00008,histidine ammonia-lyase,Energy metabolism,Energy metabolism
SAOUHSC_00009,seryl-tRNA synthetase,Protein synthesis,Translation
SAOUHSC_00010,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00012,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00013,hypothetical protein,Amino acid biosynthesis,Amino acid metabolism
SAOUHSC_00014,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00015,hypothetical protein,Signal transduction,Signal transduction
SAOUHSC_00017,50S ribosomal protein L9,Protein synthesis,Translation
SAOUHSC_00018,replicative DNA helicase,DNA metabolism,DNA metabolism
SAOUHSC_00019,adenylosuccinate synthetase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00020,two-component response regulator,Regulatory functions; Signal transduction,Regulatory
SAOUHSC_00021,sensory box histidine kinase VicK,Signal transduction,Signal transduction
SAOUHSC_00022,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00023,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00024,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_00025,hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers; Transport and binding proteins",Cofactor biosynthesis
SAOUHSC_00026,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00027,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,Protein synthesis,Translation
SAOUHSC_00028,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00029,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00030,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00031,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00032,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00033,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00034,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00035,hypothetical protein,Protein synthesis,Translation
SAOUHSC_00036,hypothetical protein,Cellular processes,Cellular processes
SAOUHSC_00037,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00038,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00039,hypothetical protein,Unknown function,Unknown/Hypothetical
SAOUHSC_00040,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00041,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00042,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00043,hypothetical protein,Central intermediary metabolism,Central metabolism
SAOUHSC_00044,hypothetical protein,Regulatory functions,Regulatory
SAOUHSC_00045,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00046,hypothetical protein,Cellular processes; DNA metabolism; Regulatory functions,Cellular processes
SAOUHSC_00047,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00049,hypothetical protein,DNA metabolism,DNA metabolism
SAOUHSC_00050,hypothetical protein,Cell envelope,Cell envelope
SAOUHSC_00051,1-phosphatidylinositol phosphodiesterase,,Virulence
SAOUHSC_00052,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00053,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00054,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00055,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00056,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00057,hypothetical protein,Protein fate,Protein fate
SAOUHSC_00058,hypothetical protein,Cellular processes; Transport and binding proteins,Cellular processes
SAOUHSC_00060,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00061,myosin-cross-reactive antigen,,Unknown/Hypothetical
SAOUHSC_00062,hypothetical protein,Transport and binding proteins,Transport
SAOUHSC_00064,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00065,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00067,L-lactate permease,Transport and binding proteins,Transport
SAOUHSC_00069,protein A,,Virulence
SAOUHSC_00070,accessory regulator-like protein,Regulatory functions,Regulatory
SAOUHSC_00071,lipoprotein SirC,,Unknown/Hypothetical
SAOUHSC_00072,lipoprotein SirB,,Unknown/Hypothetical
SAOUHSC_00074,periplasmic binding protein,,Unknown/Hypothetical
SAOUHSC_00075,"2,3-diaminopropionate biosynthesis protein SbnA",Cellular processes,Cellular processes
SAOUHSC_00076,"2,3-diaminopropionate biosynthesis protein SbnB",Cellular processes,Cellular processes
SAOUHSC_00077,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00078,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00079,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00080,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00081,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00082,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00083,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_A00084,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00084,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00085,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00086,acetoin reductase,Energy metabolism,Energy metabolism
SAOUHSC_00087,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00088,hypothetical protein,Energy metabolism,Energy metabolism
SAOUHSC_00089,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00090,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00091,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00092,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00093,superoxide dismutase,,Unknown/Hypothetical
SAOUHSC_00094,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00096,GntR family transcriptional regulator,Regulatory functions,Regulatory
SAOUHSC_A00097,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00097,purine nucleoside phosphorylase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00099,hypothetical protein,Cellular processes; Transport and binding proteins,Cellular processes
SAOUHSC_00100,2-deoxyribose-5-phosphate aldolase,"Energy metabolism; Purines, pyrimidines, nucleosides, and nucleotides",Energy metabolism
SAOUHSC_00101,phosphopentomutase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00102,phosphonates ABC transporter permease,Transport and binding proteins,Transport
SAOUHSC_00103,phosphonates ABC transporter permease,Transport and binding proteins,Transport
SAOUHSC_00104,amino acid ABC transporter ATP-binding protein,Transport and binding proteins,Transport
SAOUHSC_00105,phosphonate ABC transporter substrate-binding protein,Transport and binding proteins,Transport
SAOUHSC_00106,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00107,hypothetical protein,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide metabolism
SAOUHSC_00108,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00109,replication initiation protein,,Unknown/Hypothetical
SAOUHSC_00110,truncated replication initiation protein,,Unknown/Hypothetical
SAOUHSC_00111,hypothetical protein,,Unknown/Hypothetical
SAOUHSC_00113,bifunctional acetaldehyde-CoA/alcohol dehydrogenase,,Unknown/Hypothetical
SAOUHSC_00114,capsular polysaccharide biosynthesis protein,Transport and binding proteins,Transport
SAOUHSC_00115,capsular polysaccharide biosynthesis protein Cap5B,Transport and binding proteins,Transport
SAOUHSC_00116,capsular polysaccharide biosynthesis protein Cap8C,Transcription,Transcription
SAOUHSC_00117,capsular polysaccharide biosynthesis protein Cap5D,,Unknown/Hypothetical
SAOUHSC_00118,capsular polysaccharide biosynthesis protein Cap5E,,Unknown/Hypothetical
SAOUHSC_00119,capsular polysaccharide biosynthesis protein Cap8F,,Unknown/Hypothetical
SAOUHSC_00120,UDP-N-acetylglucosamine 2-epimerase,Cell envelope,Cell envelope
SAOUHSC_00121,capsular polysaccharide biosynthesis protein O-acetyl transferase Cap5H,,Unknown/Hypothetical
